objectid;anlage;adresse;typ;gruppe;lng;lat
247;Body-Mind;Andreas-Hofer-Straße 11-13;Fitnesscenter;Fitness/Klettern;11.3917841040001;47.260964216
248;Body-Mind;Andreas-Hofer-Straße 11-13;Fitnesscenter;Fitness/Klettern;11.391817814;47.2608040370001
249;Alfa Sports and SPA;Innrain 143;Fitnesscenter;Fitness/Klettern;11.377456259;47.2561562330001
250;Baggersee Minigolf;Archenweg;Minigolfanlage;Golf/Minigolf;11.447210222;47.267184135
251;Baggersee Minigolf;Archenweg;Skate-/Rollerbladeplatz;Funsport;11.4478703820001;47.26704848
252;Baggersee;Archenweg;Beachvolleyballplatz;Funsport;11.4467182600001;47.266905228
253;Baggersee;Archenweg;Bocciabahn;Sonstiges;11.4470884150001;47.2669243230001
254;Baggersee;Archenweg;Freibad;Schwimmen;11.4468802590001;47.265771005
255;Eislaufplatz O-Dorf;Kajetan-Sweth-Straße 14;Eislaufplatz;Eissport;11.442086493;47.2705956830001
256;Sportanlage Ursulinengymnasium;Fürstenweg 86;Hallenbad;Schwimmen;11.3697323390001;47.2627116400001
257;Sportanlage Ursulinengymnasium;Fürstenweg 86;Sporthalle;Sporthalle;11.369895292;47.2624260310001
258;Sportanlage PHT;Pastorstraße 7;Sporthalle;Sporthalle;11.395080561;47.2530754650001
259;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Kegelbahn;Sporthalle;11.424419127;47.270643668
260;Tennis- und Squashcenter;Stadlweg 40;Tennishalle;Tennis/Squash;11.430956929;47.2667518230001
261;Tennis- und Squashcenter;Stadlweg 40;Squashhalle;Tennis/Squash;11.4312735240001;47.2667335080001
262;Tennis- und Squashcenter;Stadlweg 40;Tennishalle;Tennis/Squash;11.431597708;47.2667202160001
263;Landessportcenter Tirol;Olympiastraße 10a;Sporthalle;Sporthalle;11.41131262;47.2571946460001
264;Landessportcenter Tirol;Olympiastraße 10a;Sporthalle;Sporthalle;11.4115791250001;47.257183497
265;ACT Fitness Studio Tivoli GmbH;Stadionstraße 1;Fitnesscenter;Fitness/Klettern;11.412258996;47.255910166
266;Inn-Lauf-Meilen;Karwendel Brücke bis New-Orleans-Brücke;Fitnessparkour;Fitness/Klettern;11.4103346520001;47.2803596270001
267;Body and Soul;Mitterweg 16;Fitnesscenter;Fitness/Klettern;11.376018038;47.2596985660001
268;Happy Fitness;Mitterweg 21;Fitnesscenter;Fitness/Klettern;11.376139863;47.2581679940001
269;Sporthalle HTBLVA I Anichstraße;Anichstraße 26-28;Sporthalle;Sporthalle;11.388896968;47.2652165640001
270;Sporthalle HTBLVA I Anichstraße;Anichstraße 26-28;Sporthalle;Sporthalle;11.389280768;47.2650228030001
271;Sporthalle ITV - Innsbrucker Turnverein;Fallmerayerstraße 12;Sporthalle;Sporthalle;11.3915110360001;47.2640695250001
272;Sporthalle ITV - Innsbrucker Turnverein;Fallmerayerstraße 12;Sporthalle;Sporthalle;11.3912442970001;47.2640290250001
273;Sporthalle VS Hötting;Schulgasse 4;Sporthalle;Sporthalle;11.3859314210001;47.272308536
274;Sporthalle VS Hötting;Schulgasse 4;Sporthalle;Sporthalle;11.3859551200001;47.2721071290001
275;Judozentrum Innsbruck;Franz-Fischer-Straße 7c;Sporthalle;Sporthalle;11.3955461900001;47.2580118990001
276;Sporthalle Akademisches Gymnasium Innsbruck;Angerzellgasse 14;Sporthalle;Sporthalle;11.3969648290001;47.2680481990001
277;Sporthalle BG/BRG Sillgasse;Sillgasse 10;Sporthalle;Sporthalle;11.399071604;47.2673387770001
278;City Squash and Fitness;Hunoldstraße 5;Fitnesscenter;Fitness/Klettern;11.4061583180001;47.2634049850001
279;City Squash and Fitness;Hunoldstraße 5;Squashhalle;Tennis/Squash;11.405975241;47.263274859
280;Sporthalle BG/BRG Reithmannstraße;Reithmannstraße 1-3;Sporthalle;Sporthalle;11.415523281;47.271303753
281;Sporthalle BG/BRG Reithmannstraße;Reithmannstraße 1-3;Sporthalle;Sporthalle;11.415847872;47.2709777650001
282;Body and Soul Women;Amraser-See-Straße 60;Fitnesscenter;Fitness/Klettern;11.4306641910001;47.263464884
283;Vereinsheim Arzl;Schusterbergweg 15;Sporthalle;Sporthalle;11.4316947720001;47.281797463
284;Sporthalle VS Pradl-Ost / Siegmairschule;Siegmairstraße 1;Sporthalle;Sporthalle;11.4213361490001;47.264756
285;Sporthalle VS Pradl-Ost / Siegmairschule;Siegmairstraße 1;Sporthalle;Sporthalle;11.4219029610001;47.2639065710001
286;Tennisclub IEV;Reichenauer Straße 144;Beachvolleyballplatz;Funsport;11.4269403800001;47.2736201450001
287;Sportanlage Hötting West;Franz-Baumann-Weg 8;Leichtathletikanlage;Sonstiges;11.3436060540001;47.2669613150001
288;Sportanlage Hötting West;Franz-Baumann-Weg 8;Fußballplatz;Fußball/Football;11.3439349060001;47.2669642910001
289;Sportanlage Hötting West;Franz-Baumann-Weg 8;Fußballplatz;Fußball/Football;11.343170125;47.266849645
290;Sportanlage Hötting West;Franz-Baumann-Weg 8;Basketballplatz;Funsport;11.344185265;47.2664677010001
291;Sportanlage Hötting West;Franz-Baumann-Weg 8;Eislauf-/Beachvolleyballpl.;Funsport;11.343895979;47.266431792
292;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Leichtathletikanlage;Sonstiges;11.408388814;47.2557239060001
